Ticker,Score,Weight (%),Reason
PLTR,0.95,5,Strong liquidity and high working capital; low D/E.
MNST,0.92,5,Excellent interest coverage and profit margin; low D/E.
MSFT,0.90,5,Strong liquidity and profitability; robust interest coverage.
REGN,0.88,5,High profit margin and interest coverage; low D/E.
TXN,0.87,5,Strong profitability and liquidity; moderate D/E.
GOOGL,0.86,5,High profit margin and interest coverage; low D/E.
ADBE,0.85,5,Strong profitability and interest coverage; moderate D/E.
META,0.84,5,High profit margin and interest coverage; low D/E.
QCOM,0.83,5,Strong profitability and liquidity; moderate D/E.
KLAC,0.82,5,High profit margin and ROE; moderate D/E.
ISRG,0.81,5,Strong liquidity and profitability; low D/E.
FTNT,0.80,5,High profit margin and interest coverage; moderate D/E.
APP,0.79,5,Exceptional ROE and profit margin; moderate D/E.
IDXX,0.78,5,Strong profitability and interest coverage; moderate D/E.
CDNS,0.77,5,High ROE and profit margin; moderate D/E.
AMD,0.76,5,Strong liquidity and profitability; low D/E.
DXCM,0.75,5,High interest coverage and profit margin; moderate D/E.
VRTX,0.74,5,Strong profitability and interest coverage; low D/E.
SHOP,0.73,5,High profit margin and liquidity; low D/E.
AAPL,0.72,5,Strong profitability and liquidity; moderate D/E.
